,Unnamed: 0,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction,aimedAction
6,6,Zhangguizhi,14,4,14,10,7,7,"[2609, 3546, 3724, 3880, 4026, 4187, 4333, 4521, 4699, 4871, 5229, 5648, 5847, 5996]","[(7, 7), [6, 7], [7, 7], [8, 7], [9, 7], [8, 7], [9, 7], [10, 7], [11, 7], [12, 7], [13, 7], [14, 7], [14, 8], [14, 9], [14, 10]]","[(-1, 0), (1, 0), (1, 0), (1, 0), (-1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1)]","[1, 5]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2]",2,6,7,90,
7,7,Zhangguizhi,3,4,3,10,9,7,"[2594, 2763, 2951, 3388, 3570, 3785, 3956, 4884, 5050]","[(9, 7), [9, 6], [8, 6], [7, 6], [6, 6], [5, 6], [4, 6], [3, 6], [3, 5], [3, 4]]","[(0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1)]",[1],"[0, 0, 0, 0, 0, 0, 0, 1, 1]",1,6,6,270,
8,8,Zhangguizhi,5,3,9,3,7,10,"[2283, 2481, 2632, 2785, 2961, 3137, 3741, 4128, 4346]","[(7, 10), [7, 9], [7, 8], [7, 7], [7, 6], [7, 5], [7, 4], [7, 3], [6, 3], [5, 3]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 1, 1]",0,4,7,0,
9,9,Zhangguizhi,6,5,6,9,0,7,"[2341, 2502, 2632, 2769, 2932, 3416, 3652, 3824, 4287, 4528]","[(0, 7), [1, 7], [2, 7], [3, 7], [4, 7], [5, 7], [6, 7], [6, 6], [6, 7], [6, 8], [6, 9]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]",[7],"[0, 0, 0, 0, 0, 0, 2, 2, 2, 2]",special,4,6,90,
0,0,Zhangsunshuyi,4,5,10,5,7,13,"[2994, 3628, 3945, 4358, 4725, 4927, 6090, 6482, 6807, 7150, 8108, 8413, 8706, 9173, 9511]","[(7, 13), [6, 13], [5, 13], [4, 13], [4, 12], [3, 12], [3, 11], [4, 11], [4, 10], [4, 9], [4, 10], [4, 9], [4, 8], [4, 7], [4, 6], [4, 5]]","[(-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (0, 1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[5, 10]","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,6,8,0,
1,1,Zhangsunshuyi,0,3,0,11,8,7,"[2936, 3103, 3271, 3694, 3811, 3999, 4286, 4603, 4909, 5188, 5505, 5969, 6320, 6625]","[(8, 7), [8, 6], [8, 5], [9, 5], [8, 5], [7, 5], [6, 5], [5, 5], [4, 5], [3, 5], [2, 5], [1, 5], [0, 5], [0, 4], [0, 3]]","[(0, -1), (0, -1), (1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1)]",[3],"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",1,8,8,270,
2,2,Zhangsunshuyi,4,5,10,5,7,12,"[3012, 3441, 3661, 3938, 4253, 4542, 4861, 5242, 5579, 5883]","[(7, 12), [7, 11], [7, 10], [7, 9], [7, 8], [7, 7], [7, 6], [7, 5], [8, 5], [9, 5], [10, 5]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 2]",0,6,7,0,
3,3,Zhangsunshuyi,5,8,9,8,7,1,"[2253, 2472, 2660, 2869, 3482, 3711, 3905, 4231, 4884]","[(7, 1), [7, 2], [7, 3], [7, 4], [8, 4], [8, 5], [8, 6], [8, 7], [8, 8], [9, 8]]","[(0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0)]",[4],"[0, 0, 0, 0, 0, 0, 0, 0, 2]",1,4,7,180,
4,4,Zhangsunshuyi,1,3,1,11,8,7,"[2094, 2259, 2403, 2587, 2880, 3179, 3473, 4157, 4654, 4971, 5729, 6270, 6649]","[(8, 7), [7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [2, 7], [2, 6], [1, 6], [1, 5], [2, 5], [2, 4], [2, 3], [1, 3]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (-1, 0)]","[7, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",2,8,7,270,
5,5,Zhangsunshuyi,3,0,11,0,7,6,"[2284, 2573, 2744, 2889, 3201, 3531, 4074, 4409, 4700, 4996]","[(7, 6), [7, 5], [7, 4], [7, 3], [7, 2], [7, 1], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 2, 2, 2, 2]",0,8,6,0,
6,6,Zhangsunshuyi,4,5,4,9,12,7,"[2501, 2662, 2817, 2989, 3176, 3551, 3769, 3966, 4275, 4757]","[(12, 7), [11, 7], [10, 7], [9, 7], [9, 8], [8, 8], [7, 8], [6, 8], [5, 8], [4, 8], [4, 9]]","[(-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1)]",[4],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",1,4,8,270,
7,7,Zhangsunshuyi,4,7,10,7,7,13,"[2031, 2200, 2381, 2679, 3197, 3415, 3631, 3911, 4199]","[(7, 13), [7, 12], [7, 11], [7, 10], [6, 10], [6, 9], [6, 8], [6, 7], [5, 7], [4, 7]]","[(0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0)]",[4],"[0, 0, 0, 0, 0, 0, 0, 1, 1]",1,6,6,0,
8,8,Zhangsunshuyi,5,6,9,6,7,12,"[1894, 2143, 2692, 2876, 3035, 3273, 3606, 3910, 4367, 4727]","[(7, 12), [7, 13], [7, 12], [7, 11], [7, 10], [7, 9], [7, 8], [7, 7], [7, 6], [8, 6], [9, 6]]","[(0, 1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0)]",[1],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2]",1,4,6,0,
9,9,Zhangsunshuyi,2,3,2,11,10,7,"[2113, 2251, 2400, 2573, 2767, 3001, 3279, 3573, 4024, 4189, 5007, 5173, 5485, 5815]","[(10, 7), [9, 7], [8, 7], [7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [2, 7], [2, 8], [2, 7], [2, 6], [2, 5], [2, 4], [2, 3]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[9],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",special,8,8,270,
0,0,Zhujianing,4,11,10,11,7,3,"[1742, 1924, 2433, 2668, 3138, 3473, 3606, 3752, 3859, 4062, 4217, 4446, 4839, 5187, 5579]","[(7, 3), [6, 3], [5, 3], [4, 3], [3, 3], [3, 4], [3, 5], [4, 5], [4, 6], [5, 6], [5, 7], [5, 8], [5, 9], [4, 9], [4, 10], [4, 11]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1)]","[7, 9]","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",2,6,8,180,
1,1,Zhujianing,4,6,10,6,7,12,"[1726, 2213, 2442, 2588, 3650, 3785, 3933, 4070, 4195, 4321, 4454]","[(7, 12), [7, 13], [8, 13], [9, 13], [10, 13], [10, 12], [10, 11], [10, 10], [10, 9], [10, 8], [10, 7], [10, 6]]","[(0, 1), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0]",0,6,6,0,
2,2,Zhujianing,4,5,10,5,7,12,"[2068, 2318, 2477, 2671, 2981, 3818, 3938, 4079, 4204, 4276, 4411, 4536]","[(7, 12), [8, 12], [9, 12], [8, 12], [9, 12], [10, 12], [10, 11], [10, 10], [10, 9], [10, 8], [10, 7], [10, 6], [10, 5]]","[(1, 0), (1, 0), (-1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[3],"[2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0]",1,6,7,0,
3,3,Zhujianing,5,14,9,14,7,6,"[1762, 2037, 2193, 2440, 2731, 3023, 3170, 3306, 3446, 3586, 3732, 4345, 4611, 4795]","[(7, 6), [8, 6], [9, 6], [10, 6], [10, 7], [10, 8], [10, 9], [10, 10], [10, 11], [10, 12], [11, 12], [11, 13], [11, 14], [10, 14], [9, 14]]","[(1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0)]",[10],"[2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,4,8,180,
4,4,Zhujianing,5,11,9,11,7,5,"[1722, 1904, 2050, 2263, 2413, 2590, 2714, 2856, 2983, 3112, 3277, 3490, 3638, 3870, 4192, 4468]","[(7, 5), [7, 4], [7, 3], [7, 2], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [8, 12], [9, 12], [9, 11]]","[(0, -1), (0, -1), (0, -1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0]",0,4,6,180,
5,5,Zhujianing,14,5,14,9,7,7,"[1834, 1995, 2122, 2266, 2464, 2589, 2859, 3046, 3431, 3826, 4291]","[(7, 7), [8, 7], [9, 7], [10, 7], [11, 7], [12, 7], [12, 8], [13, 8], [12, 8], [13, 8], [14, 8], [14, 9]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (-1, 0), (1, 0), (1, 0), (0, 1)]","[8, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",2,4,7,90,
6,6,Zhujianing,3,9,11,9,7,3,"[1739, 1890, 2081, 2285, 2435, 2581, 2750, 2887, 3028, 3147, 3261, 3383, 3696, 3854, 4010, 4136]","[(7, 3), [7, 2], [7, 1], [7, 0], [7, 1], [7, 2], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [8, 9], [9, 9], [10, 9], [11, 9]]","[(0, -1), (0, -1), (0, -1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]",0,8,6,180,
7,7,Zhujianing,3,10,11,10,7,2,"[1647, 2093, 2206, 2383, 2538, 2672, 2817, 2945, 3091, 3318, 3700, 3835]","[(7, 2), [8, 2], [8, 3], [9, 3], [9, 4], [9, 5], [9, 6], [9, 7], [9, 8], [9, 9], [9, 10], [10, 10], [11, 10]]","[(1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0)]",[3],"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2]",1,8,8,180,
8,8,Zhujianing,11,3,11,11,4,7,"[1714, 1935, 2087, 2417, 2698, 2885, 3024, 3189, 3316, 3477, 3580, 3721, 3834, 4423, 4688]","[(4, 7), [4, 8], [4, 9], [4, 10], [4, 11], [5, 11], [4, 11], [5, 11], [6, 11], [7, 11], [8, 11], [8, 12], [9, 12], [10, 12], [11, 12], [11, 11]]","[(0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (-1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (0, -1)]","[11, 6]","[2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,8,7,90,
9,9,Zhujianing,5,5,5,9,11,7,"[1708, 2230, 2924, 3063, 3611, 3749, 3884, 4018, 4161, 4309, 5024, 5202]","[(11, 7), [11, 6], [12, 6], [12, 5], [12, 4], [11, 4], [10, 4], [9, 4], [8, 4], [7, 4], [6, 4], [6, 5], [5, 5]]","[(0, 1), (1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0)]",[1],"[2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",special,4,6,270,
0,0,Liuhongyu,6,3,6,11,13,7,"[2613, 3164, 3768, 4145, 4475, 4769, 5138, 5410, 5728, 5941, 6411, 6731, 7140]","[(13, 7), [12, 7], [11, 7], [10, 7], [9, 7], [8, 7], [7, 7], [6, 7], [6, 6], [6, 7], [6, 6], [6, 5], [6, 4], [6, 3]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, 1), (0, -1), (0, -1), (0, -1), (0, -1)]",[9],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",1,8,7,270,
1,1,Liuhongyu,4,6,10,6,7,14,"[2016, 2220, 2559, 2722, 2889, 3064, 3234, 3442, 3851, 4106, 4308, 4696]","[(7, 14), [7, 14], [7, 13], [7, 12], [7, 11], [7, 10], [7, 9], [7, 8], [7, 7], [7, 6], [6, 6], [5, 6], [4, 6]]","[(0, 1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0)]",[1],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",1,6,8,0,
2,2,Liuhongyu,5,7,9,7,7,13,"[2031, 2199, 2363, 2529, 2707, 2886, 3082, 3478, 3813, 3980]","[(7, 13), [7, 12], [7, 11], [7, 10], [7, 11], [7, 10], [7, 9], [7, 8], [7, 7], [8, 7], [9, 7]]","[(0, -1), (0, -1), (0, -1), (0, 1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0)]",[4],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2]",1,4,6,0,
3,3,Liuhongyu,4,10,10,10,7,3,"[1865, 2192, 2383, 2556, 2712, 2872, 3106, 3310, 3515, 3698, 3892, 4100, 4483, 4772]","[(7, 3), [7, 2], [7, 3], [7, 4], [7, 5], [7, 4], [6, 4], [6, 5], [6, 6], [6, 7], [6, 8], [6, 9], [6, 10], [5, 10], [4, 10]]","[(0, -1), (0, 1), (0, 1), (0, 1), (0, -1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0)]","[5, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",2,6,7,180,
4,4,Liuhongyu,6,4,6,10,0,7,"[2084, 2279, 2540, 2719, 2909, 3089, 3280, 3609, 3824, 4049]","[(0, 7), [0, 7], [1, 7], [2, 7], [3, 7], [4, 7], [5, 7], [6, 7], [6, 6], [6, 5], [6, 4]]","[(-1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1)]",[1],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",1,6,6,90,
5,5,Liuhongyu,5,6,9,6,7,13,"[1949, 2141, 2355, 2531, 2716, 2898, 3089, 3359, 3546]","[(7, 13), [7, 12], [7, 11], [7, 10], [7, 9], [7, 8], [7, 7], [7, 6], [6, 6], [5, 6]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 1, 1]",0,4,7,0,
6,6,Liuhongyu,5,5,9,5,7,13,"[1875, 2065, 2289, 2465, 2644, 2829, 3009, 3192, 3365, 3648]","[(7, 13), [7, 12], [7, 11], [6, 11], [6, 10], [6, 9], [6, 8], [6, 7], [6, 6], [6, 5], [5, 5]]","[(0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0)]",[3],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1,4,8,0,
7,7,Liuhongyu,3,3,11,3,7,11,"[1842, 2032, 2230, 2415, 2620, 2809, 2992, 3179, 3363, 3572, 3776, 4040, 4218, 4528]","[(7, 11), [7, 10], [6, 10], [6, 11], [6, 10], [6, 9], [6, 8], [6, 7], [6, 6], [6, 5], [6, 4], [6, 3], [5, 3], [4, 3], [3, 3]]","[(0, -1), (-1, 0), (0, 1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0)]","[2, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",2,8,8,0,
8,8,Liuhongyu,7,3,7,11,13,7,"[2064, 2259, 2444, 2630, 2797, 2975, 3279, 3448, 3638, 3932]","[(13, 7), [12, 7], [11, 7], [10, 7], [9, 7], [8, 7], [7, 7], [7, 6], [7, 5], [7, 4], [7, 3]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",0,8,6,270,
9,9,Liuhongyu,4,0,10,0,7,7,"[1841, 2043, 2251, 2438, 2615, 2790, 3171, 3351, 3550, 3936, 4112, 4461]","[(7, 7), [7, 6], [7, 5], [7, 4], [7, 3], [7, 2], [7, 1], [7, 0], [8, 0], [7, 0], [6, 0], [5, 0], [4, 0]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[8],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",special,6,7,0,
0,0,Wudi,3,5,3,9,11,7,"[2373, 2695, 2922, 3143, 3326, 3518, 3808, 4090, 4392, 4642, 5364, 5746]","[(11, 7), [10, 7], [9, 7], [8, 7], [7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [3, 8], [3, 7], [3, 8], [3, 9]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, -1), (0, 1), (0, 1)]",[10],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]",1,4,8,270,
1,1,Wudi,4,6,10,6,7,12,"[1946, 2481, 2769, 3060, 3289, 3495, 3685, 3892, 4331, 4700, 5083]","[(7, 12), [7, 11], [6, 11], [5, 11], [4, 11], [4, 10], [4, 9], [4, 10], [4, 9], [4, 8], [4, 7], [4, 6]]","[(0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, 1), (0, -1), (0, -1), (0, -1), (0, -1)]",[7],"[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1,6,6,0,
2,2,Wudi,6,5,6,9,0,7,"[2627, 3048, 3433, 3672, 3911, 4235, 4456, 4643, 4840, 5083]","[(0, 7), [0, 8], [0, 9], [1, 9], [0, 9], [1, 9], [2, 9], [3, 9], [4, 9], [5, 9], [6, 9]]","[(0, 1), (0, 1), (1, 0), (-1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[4],"[2, 2, 0, 0, 0, 0, 0, 0, 0, 0]",1,4,6,90,
3,3,Wudi,6,5,6,9,13,7,"[2394, 2591, 3008, 3842, 4024, 4216, 4386, 4591, 4903]","[(13, 7), [13, 8], [13, 9], [12, 9], [11, 9], [10, 9], [9, 9], [8, 9], [7, 9], [6, 9]]","[(0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[2, 2, 0, 0, 0, 0, 0, 0, 0]",0,4,7,270,
4,4,Wudi,0,3,0,11,7,7,"[3204, 3418, 3633, 3843, 3998, 4195, 5223, 5498, 5741, 5945, 6518, 6875, 7156, 7361, 7613]","[(7, 7), [6, 7], [5, 7], [4, 7], [3, 7], [2, 7], [2, 6], [1, 6], [0, 6], [1, 6], [1, 7], [0, 7], [0, 8], [0, 9], [0, 10], [0, 11]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (1, 0), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]","[6, 9]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 2, 2, 2]",2,8,7,270,
5,5,Wudi,4,9,10,9,7,1,"[2493, 2701, 2899, 3252, 3446, 3618, 4094, 4297, 4463, 4605, 4801, 5019, 5417]","[(7, 1), [6, 1], [5, 1], [4, 1], [4, 2], [3, 2], [3, 3], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [3, 9], [4, 9]]","[(-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0)]",[5],"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,6,8,180,
6,6,Wudi,10,3,10,11,2,7,"[2627, 2836, 2994, 3127, 3296, 3452, 3646, 4221, 4659, 4852, 5086, 5284, 5548, 5919]","[(2, 7), [3, 7], [4, 7], [5, 7], [6, 7], [7, 7], [8, 7], [8, 6], [9, 6], [10, 6], [10, 7], [10, 8], [10, 9], [10, 10], [10, 11]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[7],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2]",1,8,8,90,
7,7,Wudi,3,5,11,5,7,11,"[2900, 3088, 3294, 3486, 3677, 3890, 4342, 4540, 4738, 5057]","[(7, 11), [7, 10], [7, 9], [7, 8], [7, 7], [7, 6], [7, 5], [6, 5], [5, 5], [4, 5], [3, 5]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",0,8,6,0,
8,8,Wudi,1,4,1,10,8,7,"[2194, 2402, 2610, 2808, 3255, 3463, 3651, 4027, 4413, 4756, 4985, 5243]","[(8, 7), [7, 7], [6, 7], [6, 6], [5, 6], [4, 6], [4, 7], [3, 7], [2, 7], [1, 7], [1, 8], [1, 9], [1, 10]]","[(-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1)]","[3, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2]",2,6,7,270,
9,9,Wudi,12,5,12,9,4,7,"[2179, 2402, 2590, 2760, 2969, 3178, 3534, 3814, 4036, 4659, 4907, 5294]","[(4, 7), [5, 7], [6, 7], [7, 7], [8, 7], [9, 7], [10, 7], [11, 7], [12, 7], [12, 6], [12, 7], [12, 8], [12, 9]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]",[9],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]",special,4,8,90,
0,0,Luyang,5,3,5,11,13,7,"[2105, 2321, 2473, 2637, 2807, 2964, 3114, 3265, 3414, 3556, 3712, 3877, 4046, 4210, 4376, 4753]","[(13, 7), [12, 7], [11, 7], [12, 7], [11, 7], [10, 7], [9, 7], [8, 7], [7, 7], [6, 7], [5, 7], [5, 8], [5, 7], [5, 8], [5, 9], [5, 10], [5, 11]]","[(-1, 0), (-1, 0), (1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, -1), (0, 1), (0, 1), (0, 1), (0, 1)]","[3, 12]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2]",2,8,8,270,
1,1,Luyang,4,2,10,2,7,10,"[1959, 2118, 2262, 2405, 2565, 2721, 2868, 3020, 3169, 3346, 3491]","[(7, 10), [7, 9], [7, 8], [7, 7], [7, 6], [7, 5], [7, 4], [7, 3], [7, 2], [8, 2], [9, 2], [10, 2]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2]",0,6,8,0,
2,2,Luyang,10,4,10,10,4,7,"[1809, 1950, 2099, 2258, 2413, 2570, 2883, 3064, 3213]","[(4, 7), [5, 7], [5, 8], [6, 8], [7, 8], [8, 8], [9, 8], [9, 9], [9, 10], [10, 10]]","[(1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0)]",[2],"[0, 0, 0, 0, 0, 0, 2, 2, 0]",1,6,6,90,
3,3,Luyang,5,7,9,7,7,13,"[1822, 1997, 2155, 2321, 2481, 2842, 3201, 3425]","[(7, 13), [7, 12], [7, 11], [7, 10], [7, 9], [6, 9], [5, 9], [5, 8], [5, 7]]","[(0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (0, -1)]",[5],"[0, 0, 0, 0, 0, 1, 0, 0]",1,4,6,0,
4,4,Luyang,10,5,10,9,2,7,"[1766, 1929, 2081, 2237, 2404, 2570, 2745, 2895, 3091, 3255]","[(2, 7), [3, 7], [4, 7], [5, 7], [6, 7], [7, 7], [8, 7], [9, 7], [10, 7], [10, 6], [10, 5]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",0,4,8,90,
